Station,Latitude,Longitude,Available Bikes
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,0
Queen St E / Joseph Duggan Rd,43.6677628,-79.30811709999999,13
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,8
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7
420 Wellington St W,43.643834,-79.396649,10
Sentinel Rd / Finch Ave W,43.76073963892478,-79.5000273116394,2
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1
York University Station (North),43.7741,-79.5005,0
Dundas St W / Yonge St,43.656094,-79.381484,30
Seaton St / Dundas St E - SMART,43.658777,-79.369596,4
Euclid Ave / Herrick St - SMART,43.661559,-79.413845,0
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,6
Wellington St W / Bay St,43.647259,-79.379878,52
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,7
161 Bleecker St (South of Wellesley),43.666233,-79.373327,2
Bay St / Scollard St,43.672152,-79.39018,1
Pape Ave / Gamble Ave,43.690237,-79.350119,0
Queen St E / Hammersmith Ave,43.671349,-79.29451,6
Walnut Ave / Queen St W,43.645469,-79.411084,2
Queen St E / Pape Ave - SMART,43.661673,-79.337789,14
Tecumseth St / Tecumseth Pl,43.642697996199985,-79.4049993694586,0
Davenport Rd / Lansdowne Ave,43.671526,-79.44874,0
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,7
Fenwood Ht / Kingston Rd,43.72690169821676,-79.22920396582664,2
Rouge Hill GO Station,43.7805505,-79.1301203,18
Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,4
Bremner Blvd / Rees St,43.641529,-79.386741,48
Willowdale Ave / Bishop Ave ,43.78387252467251,-79.40786809814757,5
Plaxton Dr / St Clair Ave E,43.70751755961952,-79.30252066313936,0
Front St W / University Ave (2),43.6452972,-79.3827914,18
Jarvis St / Richmond St E,43.652777,-79.372637,17
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,1
Dundas St E / River St,43.661152,-79.358505,10
St Clair Ave W / Symes Rd,43.670042134416704,-79.4789424818056,1
Yarmouth Rd / Christie St,43.67,-79.42083333333333,0
Dufferin Gate - SMART,43.633473,-79.425679,10
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,0
Niagara St / King St W - SMART,43.64281323408372,-79.40751415588915,0
Madison Ave / Bloor St W,43.66701830465472,-79.4027958687172,0
Princes' Blvd / Nunavut Rd,43.6333523484014,-79.41436313073005,10
Kingston Rd / Scarborough Golf Club Rd,43.74531103700256,-79.20970650787817,1
Harbord St / Grace St (Bickford Park),43.65995363518053,-79.41787388888551,1
Alvin Ave / St Clair Ave E,43.68871,-79.39264,0
Chorley Park - SMART,43.6856,-79.3718,0
Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,27
Yonge St / Davisville Ave,43.6975969,-79.39654,0
Berry Rd / Bell Manor Dr,43.63732,-79.489083,0
Adelaide St W / York St ,43.6491919790139,-79.38363237427446,18
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,4
St Clarens Ave / Shirley St,43.6486599,-79.4376413,4
Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,21
Cumberland St / Bay St -  SMART,43.6704537,-79.39014,8
Overlea Blvd / Thorncliffe Park Dr,43.707555968595464,-79.34272024477463,5
Kempford Blvd / Yonge St,43.776857235099826,-79.4151161430729,0
Bay St / Albert St,43.653264,-79.382458,62
High Park Outdoor Pool,43.650154,-79.464934,1
800 Fleet St (South),43.63670985212708,-79.40880517790985,2
McCowan Rd / Trudelle St,43.74033901575211,-79.23935319629516,4
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,25
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,0
Niagara St / Tecumseth St,43.641389,-79.404444,1
Uno Dr / The Queensway,43.62649329992186,-79.50358167641535,9
Oakdale Community Centre,43.74751496038769,-79.5132569853195,2
Trinity St /Front St E,43.651318,-79.36023,17
Summerhill Subway Station,43.681944,-79.390556,3
Sheppard Ave W / Chesswood Dr,43.755583971122874,-79.47446032684479,2
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,0
Swansea Community Centre,43.6438036,-79.4770327,0
The Queensway / High St,43.630874,-79.482407,14
Esther Shiner Stadium,43.7774374,-79.4447096,3
Rogers Rd / Watt Ave,43.68233679999999,-79.4680594,1
College Park - Gerrard Entrance,43.658938,-79.383518,11
Carlton St / Parliament St,43.664524,-79.36793,1
Avenue Rd / Oxton Ave ,43.69711160305226,-79.40537298227844,0
Spadina Rd / Austin Terrace,43.67883,-79.408723,0
Hanna Ave / Snooker St,43.639547,-79.420022,8
Queen St W / John St,43.650077,-79.391291,20
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,0
Eglinton Ave W / Gilbert Ave,43.69254716689966,-79.46332759272917,0
St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,1
Front St E / Cherry St,43.652686,-79.358395,13
Jarvis St / Isabella St,43.668991,-79.379385,2
Jane St / Yorkwoods Gt,43.7503016975738,-79.51577557434386,1
Bay St / College St (East Side),43.660439,-79.385525,25
Richmond St W / York St,43.650745,-79.383633,17
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,1
Bay St / Bloor St W (West Side),43.669244,-79.3894,0
Queen St W / Spadina Ave,43.649147,-79.395504,7
Davenport Rd / Avenue Rd,43.674991,-79.396273,0
King St W / Jameson Ave - SMART,43.63735795888104,-79.43617975886079,10
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,5
Edward St / Yonge St,43.656729,-79.382736,20
16 Riverview Gardens ,43.64883712159794,-79.48675294250663,0
Queen's Park / Bloor St W,43.668456,-79.393899,11
Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,4
Shaw St / King St W,43.6412561641921,-79.41502994047545,3
Havelock St / Dewson St,43.6554793,-79.4302462,0
Kilgour Rd / Rumsey Rd,43.718039,-79.371914,1
Spadina Ave / Blue Jays Way,43.641705,-79.393295,3
Glendonwynne Rd / Bloor St W,43.65182,-79.47421,2
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,15
2700 Eglinton Ave W,43.69074600637147,-79.47820143344333,10
Wendover Rd / Bloor St W (Green P),43.6492,-79.50601999999999,3
75 Holly St,43.7063279,-79.3962499,0
Starspray Blvd / Lawrence Ave E,43.788525214554085,-79.1231844760227,19
The Pond Rd / Shoreham Dr,43.772445,-79.511912,6
Adelaide St W / Yonge St,43.65038002325664,-79.3787277120385,19
Lynn Williams St / East Liberty St,43.638925,-79.4168659,1
King St E / Berkeley St,43.651885,-79.3649,29
Royal York Rd / Mimico Ave,43.612063,-79.496573,0
King St W / Charlotte St,43.645572,-79.39399,4
Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,0
Harbord St / Clinton St,43.660414,-79.415646,0
Jameson Ave / Queen St W,43.63985,-79.43703,0
High Park - Grenadier Cafe,43.645599,-79.4657123,0
High Park Amphitheatre,43.646251,-79.46472,0
Gothic Ave / Quebec Ave,43.65389,-79.4675,0
111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,15
Grantbrook St / Finch Hydro Corridor Trail,43.780468305361154,-79.43280415488479,0
Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,0
College St / Borden St,43.6571,-79.4056,2
Coxwell Ave / Plains Rd,43.69595,-79.328535,6
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,14
Glen Long Community Centre,43.70820992643782,-79.45627808717194,0
Taddle Creek Park,43.66986,-79.398443,0
Bloor St E / Huntley St - SMART,43.671535,-79.379173,0
Gerrard St E / Leslie St,43.669813,-79.3335,4
Eglinton Ave W / Prospect Cemetery,43.69415,-79.45782580000001,0
Maud St / Adelaide St W - SMART,43.6460145694434,-79.39960497726345,1
Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,14
High Park - West Rd,43.651922,-79.465693,0
King St W / Jordan St,43.648928,-79.378623,11
Morningside Park (Highland Creek Trail),43.779353,-79.193023,5
Ellesmere Rd / Markham Rd,43.77682938751077,-79.2305003612381,1
King St W / Cowan Ave - SMART,43.637922,-79.431734,2
Trethewey Dr / Black Creek Dr,43.695498400279796,-79.48809394482672,1
Adelaide St W / Bay St,43.650152,-79.379856,23
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,31
Brahms Ave / Finch Ave E,43.79236326442992,-79.35836318028717,3
King St W / Crawford St,43.6417852,-79.4131148,0
Isabella St / Church St,43.66834,-79.38235,1
Durie St / Dundas St W,43.665523,-79.484892,0
Trent Ave / Danforth Ave,43.689293,-79.295895,1
Marilyn Bell Park Tennis Court,43.633537,-79.437461,25
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,1
Joe Shuster Way / King St W ,43.64039672322004,-79.4237424131447,11
Sherbourne St / Wellesley St E,43.6673,-79.374,0
Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,13
Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,11
135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,0
15 Price St ,43.6799477790745,-79.38994813684005,2
Jarvis St / Dundas St E,43.657266,-79.374756,15
Orde St / McCaul St,43.6580442,-79.3927404,11
University Ave / King St W - SMART,43.6477785,-79.3847928,22
Islington Ave / Finch Ave W,43.74445257991756,-79.56824985721664,1
The Queensway at South Kingsway,43.63632,-79.47307,14
Roehampton Ave / Bayview Ave,43.711751,-79.378615,3
Phoebe St / Spadina Ave,43.650033,-79.396555,33
Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,0
Bay St / Bloor St W (East Side),43.66943,-79.38915,11
Symington Ave / Dupont St,43.665538,-79.451263,0
St. Clair Ave W / Osler St,43.6739269797493,-79.46068479021301,0
Bridgman Ave / Bathurst St,43.674444,-79.414722,0
Davenport Rd / Bedford Rd,43.674446,-79.398331,0
Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999,23
University Ave / College St (East),43.65995,-79.38964,16
York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,7
Simcoe St / Elm St,43.656038841714505,-79.38970387738495,6
Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,2
Bayview Ave / Finch Recreational Trail,43.789068698639504,-79.39315096004944,1
Keele St / Lloyd Ave,43.67115532642577,-79.46701597756929,0
Viewmount Park,43.70735572654095,-79.43723072209013,0
Housey St / Dan Leckie Way,43.63811,-79.397877,16
Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,7
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,1
Slan Ave / Scarborough Golf Club Rd,43.77327261711258,-79.21971485277862,2
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,5
85 Lee Ave,43.6700692,-79.2971326,9
King St W / Portland St - SMART,43.644395,-79.40065430000001,6
Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653,19
Sussex Ave / St George St,43.665304278965365,-79.39938263802871,3
Baldwin St / Henry St,43.6560758,-79.393259,9
Donlands Subway Station,43.681114,-79.3373885,1
York St / Lake Shore Blvd W,43.641952,-79.380723,17
Weston Rd / Sheppard Ave W,43.73262849415089,-79.5381993243286,0
Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,1
Leslie Subway Station,43.77037892370793,-79.36702734195678,2
Pharmacy Ave / Teesdale Pl,43.697356080874876,-79.28528711019696,13
Lindylou Rd / Lanyard Rd,43.74845421407306,-79.5504039969242,1
Blake St / Boultbee Ave,43.672453,-79.338259,4
Granby St / Church St - SMART,43.6614605,-79.37894570000002,0
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,0
Spadina Ave / Sullivan St,43.65082785552666,-79.39698099821702,11
Jarvis St / Carlton St,43.66207,-79.37617,0
Mallaby Park ,43.706191092397106,-79.53262795581969,0
Bathurst St / Lennox St,43.663808,-79.410491,0
1303 Yonge St - SMART,43.6846177,-79.39245919999999,1
Palmerston Ave / Vermont Ave,43.671389,-79.416389,0
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,0
York St / Queens Quay W,43.640132,-79.380464,54
Gamble Ave / Broadview Ave,43.689211,-79.35438,1
Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,0
St Columba Pl / St Clair Ave E,43.70567,-79.310554,2
Bloor St W / Huron St,43.667023,-79.401805,1
Bloor St W / Gladstone Ave - SMART,43.6602021,-79.4342726,0
Greenwood Ave / Sammon Ave,43.68698672516659,-79.33478198280334,0
High Park Ave / Dundas St W,43.6653032,-79.4701178,0
Sunnybrook Park,43.720233,-79.362092,1
Danforth Ave / Ellerbeck St,43.677076,-79.35667,0
1612 Danforth Ave ,43.68370788065334,-79.32262453633884,0
Finch Ave W / Wilmington Ave,43.77060244428048,-79.45997589178772,6
Charles St E / Jarvis St - SMART,43.669604,-79.381171,0
Queens Quay / Yonge St,43.641646,-79.375308,44
HTO Park West,43.63737145931921,-79.38976958703309,26
University of Toronto Scarborough,43.7842419,-79.1849889,1
King St W / Douro St,43.640885,-79.416379,0
Lower Jarvis St / Queens Quay E,43.64422,-79.36927,18
Keele St / Catford Rd,43.75919330632997,-79.49001046850891,0
Brick Works,43.683884,-79.36647,12
Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,0
Kingston Rd / Glen Everest Rd,43.697490048103,-79.25655146462776,8
Queens Quay E / Lower Jarvis St ,43.64392767366328,-79.3687301736982,22
Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,1
Rushton Rd / St Clair Ave W,43.68114,-79.4277,0
Queen St E / Alton Av,43.663912,-79.327987,18
Torresdale Ave / Antibes Dr,43.77953,-79.45233,1
Tangiers Rd / Finch Ave W,43.76376964130183,-79.48809242593383,0
Adelaide St W / Bay St (South),43.65011637593798,-79.37953068860327,15
Fort York Blvd / Garrison Rd,43.637381,-79.406112,1
Niagara St / Queen St W ,43.64572868466845,-79.40990680181771,0
Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,0
Davisville Ave / Pailton Cres,43.69933,-79.39199,0
Yonge St / St. Clair Ave,43.68850460000001,-79.39416076812287,0
Simcoe St / Dundas St W,43.655103,-79.389295,13
Front St W / Simcoe St,43.6442,-79.38702,23
Mill St / Tannery Rd,43.652219,-79.354455,26
Dundas St E / George St,43.6574766,-79.373446,11
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,45
Church St / Lombard St,43.651678,-79.375233,17
Augusta Ave / Denison Sq,43.653766,-79.4016759,1
Grenoble Dr / Deauville Ln,43.71649675774656,-79.33089439933623,2
St. John's Rd / Dundas St W,43.66526761605873,-79.47502122887077,2
Millwood Rd / Southvale Dr,43.70241717215276,-79.36175932936095,0
Dundas St E / Broadview Ave,43.662365,-79.351104,12
Dundas St W / Edna Ave,43.657192,-79.452559,0
Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,0
Eastgate Cres / Pharmacy Ave ,43.7110442448186,-79.29127313845584,2
St. Andrew's Playground Park,43.646552,-79.399586,2
Roxton Rd / Harbord St,43.65905,-79.422988,0
Ossington Ave / College St,43.6544915,-79.422634,0
Sixth St / Lake Shore Blvd W,43.60116229109828,-79.50416046627045,15
Dufferin St / Queen St W,43.64309687937765,-79.42875613770637,2
Yonge St / Sheppard Ave E,43.76128605777495,-79.41071644205269,1
Davenport Rd / Bathurst St,43.676667,-79.416111,0
Havelock St / Dufferin Park,43.657343,-79.43112,0
Bellamy Rd N / The Meadoway,43.76507271818177,-79.23835381614684,1
Sunnybrook Health Centre - L Wing,43.72268,-79.37644,0
High Park Blvd / Parkside Dr,43.644887,-79.45641169999999,4
Teddington Park Ave,43.732975,-79.40401,0
Scarlett Rd / Old Scarlett Rd ,43.678276306636576,-79.50667332401198,1
Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,0
Runnymede Rd / Annette St,43.6596299,-79.4799176,1
285 Victoria St,43.656633,-79.379625,39
Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,10
Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,2
Guildwood GO Station (South),43.754978,-79.1971289,6
Clarence Square,43.64407,-79.3929,20
Eglinton Ave E / Brimley Rd,43.736952572933866,-79.24798367249146,5
Front St W / Bay St (South Side),43.64595,-79.378761,15
Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,9
Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,1
Jane St / Weston Rd,43.69144464414302,-79.50154583869246,0
439 Sherbourne St,43.666051,-79.374161,0
Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,1
24 Mountjoy Ave,43.6808774,-79.3304491,0
Church St / The Esplanade,43.6469251,-79.3733192,18
50 Overlea Blvd,43.707225,-79.345324,3
60 Broadway Ave,43.71024429599603,-79.39578744603273,0
Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,0
Windsor St / Newcastle St,43.6171635,-79.4971065,1
O'Connor Dr / Curity Ave,43.707582,-79.311439,5
Humber College (Lakeshore Campus),43.5961692,-79.5160575,24
Eglinton Ave W / Oakwood Ave,43.69705023028765,-79.4437599043325,0
Bay St / Charles St W - SMART,43.668153,-79.38891,0
Primrose Ave / Davenport Rd,43.67142,-79.445947,0
Ted Rogers Way / Bloor St E,43.671293,-79.380471,4
Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,6
Weston Lions Park,43.698841,-79.519472,2
Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,0
Highfield Rd / Gerrard St E,43.671771,-79.324961,3
Grand Avenue Park,43.623708,-79.490054,0
Church St  / Wood St,43.662712,-79.379903,2
Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,6
King St W / Bay St (West Side),43.64852,-79.380576,37
Bloor St E / Parliament St,43.671946102001826,-79.37245115337294,0
128 Sterling Rd - SMART,43.654004,-79.444792,3
Jane St / Lawrence Ave W,43.702340220597975,-79.50347389514123,8
519 Church St - SMART,43.6668334195837,-79.38120391054117,3
Ossington Ave / Bruce St,43.64570236705167,-79.41933192053696,1
Islington Subway Station (Aberfoyle Cres),43.645658591546216,-79.52339938954925,14
Spadina Ave / Fort York Blvd,43.640114,-79.393249,5
Vanauley St / Queen St W - SMART,43.648437,-79.39838,3
Howard St / Rose Ave,43.671278,-79.372127,0
Brooklawn Ave / Kingston Rd,43.721761400691236,-79.2359137196434,1
Salem Ave / Bloor St W,43.6608333,-79.43166666666667,0
Gunns Rd / Lavender Creek Trail,43.675531973168354,-79.47199740066374,0
Lake Shore Blvd W / Bathurst St,43.63675592256874,-79.39920538954927,19
Front St W / Bay St (North Side),43.646162,-79.378912,8
Greenwood Ave / Gerrard St E,43.67036917803197,-79.32782698645094,1
Trethewey Dr / Jane St,43.697417070558615,-79.50079830912324,9
Don Mills Rd / Goodview Rd,43.785346474479695,-79.35362921031188,2
25 Booth Ave,43.6544839,-79.34105699999999,9
Danforth Ave / Danforth Rd,43.69362206784152,-79.27710529695892,2
Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,14
Thorncliffe Park Dr / Leaside Park Trail,43.70400405297843,-79.34807015078738,2
University Ave / Gerrard St W (East Side),43.657763,-79.389165,8
3220 Bloor St W,43.646186757495194,-79.51762536747455,2
Cosburn Ave / Durant Ave,43.6935477,-79.3301658,1
Marlee Ave / York Beltline Trail,43.70163,-79.44099,1
King St W / Bay St (East Side),43.648575,-79.380042,18
Bloor St W / Balmuto St,43.66981064282057,-79.38801106873031,1
Claremont St / Dundas St W,43.651281,-79.411717,0
HTO Park (Queens Quay W),43.63796,-79.387502,24
Charles St W / Balmuto St - SMART,43.668427,-79.38725,0
King St W / Brant St,43.645102,-79.39744979999999,8
Lawton Blvd / Yonge St,43.6910667,-79.39535,0
Grenoble Dr / Vendome Pl,43.715537998967406,-79.32811427663442,4
Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,0
14 Arundel Ave,43.6784834,-79.3513564,0
Antler St / Campbell Ave - SMART,43.664182,-79.449066,0
Keele St / Ingram Dr,43.698706949666914,-79.4756586460327,0
St Clair Ave W / Castleton Ave,43.668496,-79.485426,2
Emdaabiimok Ave / Lake Shore Blvd E,43.662771,-79.315223,13
Highview Ave / Kennedy Rd,43.702418581463505,-79.2563167072858,6
Emerson Ave / Bloor St W,43.658739,-79.440691,1
St Clair Ave W / Oakwood Ave,43.678177,-79.435364,0
Bellamy Rd S / Kingston Rd,43.7323277855009,-79.22496619876934,5
Queens Quay W / Lower Simcoe St,43.63951,-79.383717,19
Fulton Ave / Pape Ave,43.68395,-79.347046,0
165 McRae Dr,43.70587454662511,-79.36800595602851,1
Union Station (North),43.645808552646564,-79.38054652324743,16
Church St / Shuter St,43.65505698168995,-79.37651024603271,14
Spadina Ave / Bulwer St- SMART ,43.649354475273796,-79.39675713332855,5
Crawford St / Lobb Ave,43.64654941401018,-79.41558900317995,0
Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,2
King St W / Stafford St,43.6422222,-79.41111111111111,0
Florence Gell Park,43.66196582326018,-79.49851065277862,5
Orchard Park,43.66908,-79.3149,10
Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,0
Armel Ct / Albion Rd,43.721532966873205,-79.5455834809678,1
Danforth Ave / Aldridge Ave,43.684758,-79.316767,0
640 Bloor Street E,43.67468857448634,-79.36701962396272,3
Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,18
Finch West Subway Station,43.76521,-79.491281,3
College St / Major St,43.6576,-79.4032,3
Bathurst St / Adelaide St W,43.645324,-79.40345,0
Front St W / Spadina Ave,43.64235480340359,-79.39519751877137,17
Bartley Park ,43.72211166436462,-79.30864830919265,8
Weston Rd / Lanyard Rd,43.748713,-79.541808,1
Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,25
Metro Hall Plaza,43.645859,-79.38783,22
Ossington Ave / Bloor St W,43.661705,-79.425734,0
Annette St / Jane St,43.658574,-79.487246,1
Princes' Gates,43.63467323676012,-79.40897321886649,13
Gould St / Mutual St,43.6582,-79.3768,27
Bert Robinson Park,43.688028,-79.460265,2
Portland St / Queen St W,43.6476,-79.4015,6
Bay St / Wellesley St W,43.664088,-79.387095,29
Lansdowne Ave / Seaforth Ave ,43.642904395956684,-79.43746059447746,2
200 Bloor St E,43.671561,-79.38117,2
King St W / University Ave,43.64781808540915,-79.38427999073791,17
Fleming Cres / Bayview Ave,43.707045,-79.375437,0
Scarborough GO Station,43.7170472128686,-79.25461030789113,3
Eglinton Ave W / Venn Cres,43.69143920681119,-79.46908634795456,5
Bleecker St / St James Ave,43.669232,-79.374495,0
Spadina Rd / St.Clair Ave West,43.683979,-79.410657,0
Danforth Ave / Warden Ave,43.6950192,-79.27180659999999,2
Eglinton West Subway Station,43.69867103968614,-79.43680738560357,0
Sentinel Rd / Finch Corridor Trail,43.7641485,-79.5012809,0
Bloor St W / Dundas St W (2),43.64285244644315,-79.53199489206543,3
80 Clinton St,43.656296,-79.414663,0
Sunnyside - Gus Ryder Pool,43.637894,-79.454823,11
Widmer St / Adelaide St W - SMART,43.647547634759206,-79.39155200496292,1
Pacific Ave / Glenlake Ave,43.65716,-79.46478,1
Rosedale Park (20 Scholfield Ave),43.682645,-79.377557,0
Beverley St / Dundas St W,43.652823,-79.393388,6
St Clair Ave W / Winona Dr,43.680466,-79.432522,0
Concord Ave / Bloor St W,43.66189,-79.42679,0
Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.33368089999999,6
Lake Shore Blvd W / Legion Rd,43.62052630763223,-79.48320224237995,7
Morse St / Eastern Ave,43.657991,-79.340075,8
Temperance St Station,43.650945,-79.379498,53
Moss Park,43.655972,-79.370638,9
Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,0
Gerrard St E / Nasmith Ave ,43.66273618779861,-79.36253100740966,13
Garden Ave / Roncesvalles Ave,43.643769,-79.447915,0
Glencairn Subway Station,43.70925763810859,-79.44169105036657,2
Exhibition GO Station,43.6352007,-79.4187711,9
Wakunda Pl / O'Connor Dr,43.71602024377182,-79.3047092517501,3
Regal Rd / Dufferin St,43.673939,-79.441159,0
Empress Ave / Yonge St,43.769395456625546,-79.41266521769707,2
Logan Ave / Gerrard St E,43.6672144,-79.3452697,10
Leslie St / Commissioners St  ,43.657275497390124,-79.32661544194183,16
Dundas St E / Regent Park Blvd,43.660207,-79.361275,1
Eglinton Ave E / Redpath Ave,43.7078691,-79.39248,0
Bloor St W / Christie St,43.6638889,-79.41888888888889,0
Sherbourne St N / Elm Ave,43.6752732,-79.3778458,0
Woodbine Ave / O'Connor Dr,43.699281,-79.318802,0
Danforth Ave / Lamb Ave,43.681991,-79.329455,1
Shaw St / Essex St - SMART,43.667076,-79.425116,1
The Well,43.643025055165865,-79.39430137761319,17
Elwood Blvd / Avenue Rd,43.707049,-79.40966,0
Cherry St / Lake Shore Blvd E,43.64827015761016,-79.35651733677065,14
Eglinton Ave E / Brentcliffe Rd,43.714305793017544,-79.36089045040129,3
Cedar Dr / Eglinton Ave E,43.744208202155754,-79.21564636613158,8
Keele St / Dovehouse Ave - SMART,43.7494501,-79.4869662,8
Barton Ave / Howland Ave - SMART,43.66842,-79.410585,2
75 Thorncliffe Park Dr,43.70518328279426,-79.34224729962946,1
Elizabeth St / Elm St,43.6570908165693,-79.38593668834272,19
Second St / Lake Shore Blvd W,43.60191488118503,-79.49941888654288,12
Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,14
Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,0
Danforth Ave / Barrington Ave,43.688325,-79.300463,0
Tecumseth St / Queen St W - SMART,43.646552,-79.406468,0
Scarborough Soccer Centre,43.7154661,-79.2876595,2
Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,3
Fairglen Cres / Weston Rd,43.70876747477083,-79.53445192394257,0
Yonge St / Aylmer Ave,43.675492,-79.388858,7
Beltline Trail / Yonge St,43.6962302,-79.39504339999999,0
University Ave / Richmond St W,43.64981903446256,-79.38641270251617,12
Bloor St W / Old Mill Trl,43.65016869999999,-79.4963345,12
Fairmount Park,43.6765897,-79.3163022,2
Victoria Park Ave / Edge Park Ave,43.717678679534906,-79.29961580314475,10
Markham Rd / The Meadoway ,43.77121894873629,-79.22956526983644,2
Central Tech  (Harbord St),43.661975,-79.407896,0
